customer_id,purchase_frequency,avg_order_value,days_since_last_purchase,product_category,region,cluster_id,cluster_size,customer_score
CUST_0044,4,97.47241692362178,227,Clothing,APAC,2,18,13.234883004195522
CUST_0045,25,255.44055671730962,112,Sports,EU,3,20,31.560842218097136
CUST_0046,14,148.2981967475751,99,Clothing,US,0,22,27.907908288872864
CUST_0047,9,237.4294765416648,153,Clothing,LATAM,3,20,21.73694596387157
CUST_0048,26,447.47611651349075,349,Electronics,LATAM,2,18,13.057496842691158
CUST_0049,2,195.95525945237327,338,Home,LATAM,4,25,3.6070438605489006
CUST_0050,20,104.93957961530302,194,Clothing,APAC,3,20,22.369613259393855
CUST_0051,28,210.33402713463872,310,Books,LATAM,4,25,16.351550026609395
CUST_0052,47,458.0727986955893,163,Home,LATAM,0,22,36.776958122114166
CUST_0053,7,172.45951222308588,208,Sports,LATAM,4,25,16.22148812571035
CUST_0054,44,341.46055424361305,169,Electronics,EU,4,25,34.73397070382673
CUST_0055,8,50.23416964789212,161,Sports,APAC,1,15,20.11782579661491
CUST_0056,47,208.65598535037606,68,Home,LATAM,1,15,43.836926860160716
CUST_0057,35,187.15156617111307,289,Home,US,1,15,20.80803004097909
CUST_0058,14,124.09513391432378,277,Home,US,4,25,13.205162114071738
CUST_0059,17,290.34023871894885,304,Sports,US,2,18,12.684719346293834
CUST_0060,36,268.17348711154244,135,Home,APAC,4,25,34.10863005037572
CUST_0061,40,361.5962148006216,195,Sports,APAC,2,18,31.05739138412789
CUST_0062,4,171.23555020933466,128,Home,US,2,18,21.593158705422525
CUST_0063,2,159.85648501149836,33,Books,LATAM,1,15,28.567240687911205
CUST_0064,6,125.73096897781875,176,Home,APAC,3,20,18.311439482275922
CUST_0065,42,148.44389880788162,22,Sports,US,0,22,45.43711251834145
CUST_0066,4,301.14590090780354,238,Clothing,US,1,15,12.941793867106973
CUST_0067,29,231.72627697611836,158,Home,LATAM,1,15,29.308877461065343
CUST_0068,18,79.2015111990417,38,Clothing,EU,3,20,34.31431686236425
CUST_0069,26,164.26193627045512,230,Books,APAC,0,22,21.98867621977027
CUST_0070,44,161.09422827737052,51,Electronics,LATAM,4,25,43.8915018629143
CUST_0071,34,363.33692277790476,264,Books,US,4,25,22.99138063134741
CUST_0072,10,370.5217654659989,283,Home,US,1,15,11.851291323795257
CUST_0073,36,116.63911847902995,27,Clothing,LATAM,0,22,42.53073927324531
CUST_0074,14,498.98321827202386,226,Clothing,APAC,1,15,18.521607189062646
CUST_0075,31,170.05145642387825,277,Sports,EU,2,18,20.1430310816004
CUST_0076,48,489.4767301246938,286,Clothing,EU,1,15,27.161580875305592
CUST_0077,15,234.96665599320409,97,Sports,US,1,15,28.732297228253586
CUST_0078,8,64.87282980524677,284,Electronics,APAC,4,25,10.052152735991083
CUST_0079,14,205.28206161200734,317,Home,EU,4,25,10.161051664288077
CUST_0080,23,335.4581051156137,304,Sports,APAC,4,25,15.220072945483828
CUST_0081,40,356.31745319964506,147,Electronics,APAC,2,18,34.986760578777016
CUST_0082,21,288.9205624927114,4,Clothing,US,4,25,38.93799456419046
CUST_0083,16,251.50242405789123,35,Clothing,EU,0,22,34.27779494340655
CUST_0084,45,298.80189008209754,192,Electronics,LATAM,3,20,33.11558375243807
CUST_0085,18,316.7135257457271,49,Clothing,US,0,22,34.12274331696321
CUST_0086,47,86.38399684972185,17,Electronics,EU,0,22,47.66189171657656
CUST_0087,24,216.344505227632,172,Sports,EU,4,25,26.112047214313037
CUST_0088,26,158.97197222484164,220,Sports,EU,3,20,22.794724135852608
CUST_0089,25,411.41289037095316,158,Electronics,EU,3,20,28.247937301249845
CUST_0090,45,261.63528550071726,46,Sports,EU,3,20,45.00408393869394
CUST_0091,41,492.54041340267935,6,Sports,APAC,2,18,47.38447055527653
CUST_0092,29,229.47099910004889,99,Sports,US,4,25,34.15142669593028
CUST_0093,15,417.3943429487228,233,Books,APAC,3,20,18.10149809733932
CUST_0094,45,409.255306243048,37,Home,LATAM,2,18,46.18667002831819
CUST_0095,1,117.82289478444326,280,Clothing,EU,1,15,7.7397700542163435
CUST_0096,25,278.6894495333234,349,Books,US,1,15,12.151136841750654
CUST_0097,7,363.1157630558968,302,Sports,EU,2,18,9.067429480948512
CUST_0098,9,436.26146216617394,181,Electronics,US,2,18,20.032072057731398
CUST_0099,24,196.68150734084813,95,Sports,APAC,4,25,32.38182534394035
