queue_position,candidate_id,priority_score,cluster_id,product_category,status,assigned_reviewer,review_completion_time,reviewer_decision,queued_at
31,CUST_0038,0.09,3,Books,pending,,,,2026-03-10T04:02:01.866306
32,CUST_0033,0.08,4,Home,pending,,,,2026-03-10T04:02:01.866349
33,CUST_0014,0.08,1,Clothing,pending,,,,2026-03-10T04:02:01.866391
34,CUST_0026,0.08,0,Books,pending,,,,2026-03-10T04:02:01.866433
35,CUST_0025,0.08,3,Clothing,pending,,,,2026-03-10T04:02:01.866476
36,CUST_0001,0.08,3,Home,pending,,,,2026-03-10T04:02:01.866519
37,CUST_0067,0.08,1,Home,pending,,,,2026-03-10T04:02:01.866561
38,CUST_0045,0.08,3,Sports,pending,,,,2026-03-10T04:02:01.866603
39,CUST_0046,0.08,0,Clothing,pending,,,,2026-03-10T04:02:01.866646
40,CUST_0040,0.08,2,Clothing,pending,,,,2026-03-10T04:02:01.866688
41,CUST_0012,0.08,2,Books,pending,,,,2026-03-10T04:02:01.866744
42,CUST_0061,0.08,2,Sports,pending,,,,2026-03-10T04:02:01.866808
43,CUST_0034,0.07,0,Sports,pending,,,,2026-03-10T04:02:01.866857
44,CUST_0002,0.07,0,Electronics,pending,,,,2026-03-10T04:02:01.866901
45,CUST_0077,0.07,1,Sports,pending,,,,2026-03-10T04:02:01.866944
46,CUST_0089,0.07,3,Electronics,pending,,,,2026-03-10T04:02:01.866986
47,CUST_0071,0.07,4,Books,pending,,,,2026-03-10T04:02:01.867031
48,CUST_0076,0.07,1,Clothing,pending,,,,2026-03-10T04:02:01.867084
49,CUST_0063,0.07,1,Books,pending,,,,2026-03-10T04:02:01.867132
50,CUST_0039,0.07,3,Home,pending,,,,2026-03-10T04:02:01.867176
51,CUST_0041,0.07,1,Clothing,pending,,,,2026-03-10T04:02:01.867218
52,CUST_0087,0.07,4,Sports,pending,,,,2026-03-10T04:02:01.867271
53,CUST_0010,0.06,2,Clothing,pending,,,,2026-03-10T04:02:01.867379
54,CUST_0031,0.06,3,Clothing,pending,,,,2026-03-10T04:02:01.867432
55,CUST_0047,0.06,3,Clothing,pending,,,,2026-03-10T04:02:01.867477
56,CUST_0088,0.06,3,Sports,pending,,,,2026-03-10T04:02:01.867519
57,CUST_0069,0.06,0,Books,pending,,,,2026-03-10T04:02:01.867561
58,CUST_0062,0.06,2,Home,pending,,,,2026-03-10T04:02:01.867603
59,CUST_0050,0.06,3,Clothing,pending,,,,2026-03-10T04:02:01.867646
60,CUST_0032,0.06,3,Electronics,pending,,,,2026-03-10T04:02:01.867688
61,CUST_0028,0.06,2,Electronics,pending,,,,2026-03-10T04:02:01.867729
62,CUST_0013,0.06,3,Clothing,pending,,,,2026-03-10T04:02:01.867770
63,CUST_0017,0.05,3,Clothing,pending,,,,2026-03-10T04:02:01.867811
64,CUST_0003,0.05,4,Home,pending,,,,2026-03-10T04:02:01.867852
65,CUST_0000,0.05,4,Books,pending,,,,2026-03-10T04:02:01.867894
66,CUST_0016,0.05,4,Clothing,pending,,,,2026-03-10T04:02:01.867938
67,CUST_0004,0.05,4,Sports,pending,,,,2026-03-10T04:02:01.867981
68,CUST_0023,0.05,0,Sports,pending,,,,2026-03-10T04:02:01.868023
69,CUST_0098,0.05,2,Electronics,pending,,,,2026-03-10T04:02:01.868065
70,CUST_0093,0.05,3,Books,pending,,,,2026-03-10T04:02:01.868106
71,CUST_0075,0.05,2,Sports,pending,,,,2026-03-10T04:02:01.868147
72,CUST_0042,0.05,4,Books,pending,,,,2026-03-10T04:02:01.868188
73,CUST_0053,0.05,4,Sports,pending,,,,2026-03-10T04:02:01.868229
74,CUST_0057,0.05,1,Home,pending,,,,2026-03-10T04:02:01.868271
75,CUST_0011,0.05,0,Clothing,pending,,,,2026-03-10T04:02:01.868311
76,CUST_0074,0.05,1,Clothing,pending,,,,2026-03-10T04:02:01.868352
77,CUST_0051,0.05,4,Books,pending,,,,2026-03-10T04:02:01.868394
78,CUST_0043,0.05,4,Electronics,pending,,,,2026-03-10T04:02:01.868437
79,CUST_0037,0.05,0,Home,pending,,,,2026-03-10T04:02:01.868480
80,CUST_0064,0.05,3,Home,pending,,,,2026-03-10T04:02:01.868522
81,CUST_0055,0.05,1,Sports,pending,,,,2026-03-10T04:02:01.868564
82,CUST_0005,0.04,0,Sports,pending,,,,2026-03-10T04:02:01.868606
83,CUST_0008,0.04,4,Clothing,pending,,,,2026-03-10T04:02:01.868647
84,CUST_0080,0.04,4,Sports,pending,,,,2026-03-10T04:02:01.868689
85,CUST_0058,0.04,4,Home,pending,,,,2026-03-10T04:02:01.868730
86,CUST_0066,0.03,1,Clothing,pending,,,,2026-03-10T04:02:01.868772
87,CUST_0018,0.03,0,Clothing,pending,,,,2026-03-10T04:02:01.868813
88,CUST_0015,0.03,0,Books,pending,,,,2026-03-10T04:02:01.868856
89,CUST_0078,0.03,4,Electronics,pending,,,,2026-03-10T04:02:01.868898
90,CUST_0044,0.03,2,Clothing,pending,,,,2026-03-10T04:02:01.868940
91,CUST_0048,0.03,2,Electronics,pending,,,,2026-03-10T04:02:01.868981
92,CUST_0059,0.03,2,Sports,pending,,,,2026-03-10T04:02:01.869023
93,CUST_0096,0.03,1,Books,pending,,,,2026-03-10T04:02:01.869064
94,CUST_0079,0.03,4,Home,pending,,,,2026-03-10T04:02:01.869120
95,CUST_0072,0.03,1,Home,pending,,,,2026-03-10T04:02:01.869163
96,CUST_0009,0.02,0,Electronics,pending,,,,2026-03-10T04:02:01.869207
97,CUST_0022,0.02,0,Books,pending,,,,2026-03-10T04:02:01.869250
98,CUST_0095,0.02,1,Clothing,pending,,,,2026-03-10T04:02:01.869293
99,CUST_0097,0.02,2,Sports,pending,,,,2026-03-10T04:02:01.869335
100,CUST_0049,0.01,4,Home,pending,,,,2026-03-10T04:02:01.869377
