candidate_id,cluster_id,customer_score,priority_score,product_category,region,purchase_frequency,avg_order_value,days_since_last_purchase,status,created_at
CUST_0057,1,20.81,0.05,Home,US,35,187.15,289,pending_review,2026-03-10T04:02:01.842751
CUST_0011,0,18.41,0.05,Clothing,LATAM,24,252.25,267,pending_review,2026-03-10T04:02:01.832141
CUST_0074,1,18.52,0.05,Clothing,APAC,14,498.98,226,pending_review,2026-03-10T04:02:01.846316
CUST_0051,4,16.35,0.05,Books,LATAM,28,210.33,310,pending_review,2026-03-10T04:02:01.841129
CUST_0043,4,16.87,0.05,Electronics,LATAM,18,183.04,254,pending_review,2026-03-10T04:02:01.839540
CUST_0037,0,18.39,0.05,Home,LATAM,3,141.38,161,pending_review,2026-03-10T04:02:01.838314
CUST_0064,3,18.31,0.05,Home,APAC,6,125.73,176,pending_review,2026-03-10T04:02:01.844205
CUST_0055,1,20.12,0.05,Sports,APAC,8,50.23,161,pending_review,2026-03-10T04:02:01.842094
CUST_0005,0,14.3,0.04,Sports,EU,21,405.58,308,pending_review,2026-03-10T04:02:01.830878
CUST_0008,4,12.45,0.04,Clothing,LATAM,23,342.98,338,pending_review,2026-03-10T04:02:01.831517
CUST_0080,4,15.22,0.04,Sports,APAC,23,335.46,304,pending_review,2026-03-10T04:02:01.847552
CUST_0058,4,13.21,0.04,Home,US,14,124.1,277,pending_review,2026-03-10T04:02:01.842987
CUST_0066,1,12.94,0.03,Clothing,US,4,301.15,238,pending_review,2026-03-10T04:02:01.844647
CUST_0018,0,12.07,0.03,Clothing,US,24,302.56,346,pending_review,2026-03-10T04:02:01.833598
CUST_0015,0,10.63,0.03,Books,US,3,349.67,263,pending_review,2026-03-10T04:02:01.832991
CUST_0078,4,10.05,0.03,Electronics,APAC,8,64.87,284,pending_review,2026-03-10T04:02:01.847151
CUST_0044,2,13.23,0.03,Clothing,APAC,4,97.47,227,pending_review,2026-03-10T04:02:01.839740
CUST_0048,2,13.06,0.03,Electronics,LATAM,26,447.48,349,pending_review,2026-03-10T04:02:01.840540
CUST_0059,2,12.68,0.03,Sports,US,17,290.34,304,pending_review,2026-03-10T04:02:01.843195
CUST_0096,1,12.15,0.03,Books,US,25,278.69,349,pending_review,2026-03-10T04:02:01.850804
CUST_0079,4,10.16,0.03,Home,EU,14,205.28,317,pending_review,2026-03-10T04:02:01.847352
CUST_0072,1,11.85,0.03,Home,US,10,370.52,283,pending_review,2026-03-10T04:02:01.845917
CUST_0009,0,6.2,0.02,Electronics,US,11,461.73,360,pending_review,2026-03-10T04:02:01.831726
CUST_0022,0,6.94,0.02,Books,APAC,2,374.78,304,pending_review,2026-03-10T04:02:01.834426
CUST_0095,1,7.74,0.02,Clothing,EU,1,117.82,280,pending_review,2026-03-10T04:02:01.850602
CUST_0097,2,9.07,0.02,Sports,EU,7,363.12,302,pending_review,2026-03-10T04:02:01.851003
CUST_0049,4,3.61,0.01,Home,LATAM,2,195.96,338,pending_review,2026-03-10T04:02:01.840737
